id,word,rank,stars,part_of_speech,meaning_ja,definition_en,example_1_en,example_1_ja,example_2_en,example_2_ja,example_3_en,example_3_ja
1,the,1,★★★★★,article,その,used to point to something already mentioned,Can you pass me the salt on the dining table?,食卓の上のその塩を取ってくれる？,The coffee shop around the corner opens at seven.,その角を曲がったところにあるカフェは7時に開く。,Did you enjoy the movie we watched yesterday?,昨日一緒に観たその映画は楽しめた？
2,be,2,★★★★★,verb,である,used to show the identity of a thing,Please be quiet while the baby is sleeping.,赤ちゃんが寝ている間は静かにしていてね。,I will be home around six in the evening.,夕方6時頃には家に帰っているよ。,Don't be afraid to make small mistakes when learning.,学習する時は小さな間違いを恐れないで。
3,and,3,★★★★★,conjunction,～と,used to join words or groups of words,I bought some fresh bread and milk for breakfast.,朝食用に焼きたてのパンと牛乳を買ってきたよ。,Sit down and take a rest for a while.,座ってしばらく休みなよ。,He likes watching movies and playing video games on weekends.,彼は週末に映画を観ることとゲームをするのが好きだ。
4,of,4,★★★★★,preposition,の,belonging to or connected with something,Would you like a hot cup of black tea?,温かい紅茶を一杯いかがですか？,Most of my friends live in the same neighborhood.,私の友達のほとんどは同じ近所に住んでいる。,That was one of the best dinners I have ever had.,今まで食べた中で最高の夕飯の一つだったよ。
5,to,5,★★★★★,preposition,～へ,used to indicate place or direction,Let's walk to the park if the weather is nice.,もし天気が良ければ公園まで歩こう。,I need to wake up early tomorrow morning.,明日の朝は早く起きる必要があるんだ。,Give this birthday gift to your little sister.,この誕生日プレゼントを妹さんに渡してね。
6,a,6,★★★★★,article,一つの,one particular thing or one of a class of things,I saw a cute cat sleeping under the bench.,ベンチの下で可愛い猫が一匹寝ているのを見かけた。,Do you have a pen I can borrow for a second?,ちょっとだけ借りられるペンを一本持ってる？,Let's take a short break and drink some water.,少し短い休憩をとってお水を飲もう。
7,in,7,★★★★★,preposition,～の中,used to indicate being inside of or surrounded by something else,The car keys are in my jacket pocket.,車の鍵は私の上着のポケットの中にあるよ。,We usually go camping in the mountains during summer.,私たちは夏の間、よく山へキャンプに行く。,She has lived in Tokyo for more than five years.,彼女は東京に5年以上住んでいる。
8,have,8,★★★★★,verb,持つ,"to own, possess, or hold something",Do you have any plans for dinner tonight?,今夜の夕飯に何か予定はある？,"I have a terrible headache, so I will sleep early.",ひどい頭痛がするので早く寝るよ。,We always have a great time chatting together.,私たちは一緒に雑談するといつも楽しい時間を過ごせる。
9,it,9,★★★★★,pronoun,それ,a thing that has been previously mentioned,Where is my umbrella? It was right here a minute ago.,私の傘どこ？さっきまでちょうどここにあったのに。,"It is getting cold outside, so wear a jacket.",外は寒くなってきたから上着を着なよ。,Don't worry about it; everything will be totally fine.,そのことは心配しないで、すべて絶対大丈夫だから。
10,you,10,★★★★★,pronoun,あなた,used to refer to the person the speaker is addressing,How are you feeling after taking the medicine?,薬を飲んだ後、具合（気分）はどう？,You did an amazing job with the presentation today!,今日のプレゼン、本当に素晴らしい出来だったよ！,Can you help me carry these heavy grocery bags?,この重い買い出し袋を運ぶのを手伝ってくれる？
11,he,11,★★★★★,pronoun,彼,used to refer to a male person that is the subject,He forgot to bring his wallet to the restaurant.,彼はレストランに財布を持ってくるのを忘れた。,Is he coming to the birthday party this evening?,彼は今晩の誕生日会に来るのかな？,He always makes everyone laugh with his silly jokes.,彼はおかしな冗談でいつもみんなを笑わせる。
12,for,12,★★★★★,preposition,～のため,indicating the purpose or need of something,I bought this special dessert just for you.,あなたのためだけにこの特製デザートを買ってきたよ。,We have been waiting for the bus for twenty minutes.,私たちはバスを20分間ずっと待っている。,What do you want to eat for lunch today?,今日の昼食には何が食べたい？
13,they,13,★★★★★,pronoun,彼ら,"used to refer to two or more people, animals, or things",They decided to adopt a puppy from the shelter.,彼らは保護施設から子犬を一匹引き取ることに決めた。,Where did they go after the movie ended?,映画が終わった後、彼らはどこへ行ったの？,They look very happy together in the wedding photo.,結婚式の写真で彼らはとても幸せそうに見える。
14,not,14,★★★★★,adverb,～でない,used to make an expression negative,"I am not really hungry right now, thanks.",今はあまりお腹が空いてないんだ、ありがとう。,Do not forget to lock the front door tonight.,今夜は玄関の鍵をかけるのを忘れないでね。,She could not hear what he said over the loud noise.,大きな騒音のせいで、彼女は彼が言ったことを聞き取れなかった。
15,that,15,★★★★★,adjective,あの,"used to identify a specific person, thing, fact or idea",Look at that beautiful sunset over the ocean!,海の上に沈むあの綺麗な夕日を見てごらん！,I told him that we should leave before five.,5時前に出発すべきだと彼に伝えたよ。,That was exactly what I wanted to say.,それこそがまさに私の言いたかったことだよ。
16,we,16,★★★★★,pronoun,私たち,used to refer to the speaker and another person as the subject,We had a wonderful family dinner at an Italian restaurant.,私たちはイタリアンレストランで素敵な家族の夕飯をとった。,She had no idea that we were planning a surprise.,私たちがサプライズを計画しているとは彼女は思いもしなかった。,I had already finished my homework before dinner.,夕食の前にはすでに宿題を終えていたよ。
17,on,17,★★★★★,preposition,～に接して,touching and being supported or physically in contact by something,What do you usually do on Sunday afternoons?,日曜日の午後は普段何をして過ごしているの？,I will do the dishes after we finish drinking tea.,お茶を飲み終わったら私がお皿を洗うよ。,"Do your best, and don't stress about the result.",ベストを尽くせばいいよ、結果を気に病まないで。
18,with,18,★★★★★,preposition,～と一緒,used to express that people or things are together,Where did you get that lovely souvenir from?,その素敵なお土産はどこで手に入れたの？,The train ride from my house to downtown takes an hour.,私の家から中心街までの電車の所要時間は1時間かかる。,I received a warm message from an old school friend.,学生時代の古い友人から温かいメッセージを受け取った。
19,this,19,★★★★★,adjective,この,"used to identify a specific person, thing, or idea that is close",This soup tastes so good on a cold winter day.,このスープは寒い冬の日にとても美味しく感じる。,Try this new flavor and tell me what you think.,この新しい味を試してみて、どう思うか教えてよ。,"Is this seat taken, or may I sit here?",この席は使われてますか、それとも座ってもいいですか？
