id,word,rank,part_of_speech,functional_type,example_en,example_ja,note
1,unless,412,conj,logic_direction,"I won't go to the party unless you come with me.","あなたが一緒に来ない限り、私はパーティーに行かない。","conj. 〜でない限り"
2,hesitate,1820,v,system_action,"Don't hesitate to call me if you need any help.","助けが必要ならためらわずに（遠慮なく）電話してね。","v. ためらう・遠慮する"
3,awkward,2150,adj,system_state,"There was an awkward silence after he told that bad joke.","彼がつまらない冗談を言った後、気まずい沈黙が流れた。","adj. 気まずい・不器用な"
4,relieved,1940,adj,system_state,"I was so relieved to hear that you arrived home safely.","あなたが無事に帰宅したと聞いて本当にホッとしました。","adj. 安心した・ほっとした"
5,meanwhile,1650,adv,logic_direction,"She was cooking dinner; meanwhile, I cleaned up the living room.","彼女が夕飯を作っている間、私はリビングを片付けた。","adv. その間に・一方で"
6,convince,1180,v,system_action,"I tried to convince him to take a few days off.","私は彼に数日休みを取るよう説得してみた。","v. 納得・説得させる"
7,regardless,1910,adv,logic_direction,"It might rain tomorrow, but we are going hiking regardless.","明日は雨かもしれないが、それにもかかわらずハイキングに行く。","adv. にもかかわらず"
8,apologize,1450,v,system_action,"You don't have to apologize; it was completely my fault.","謝る必要はないよ、完全に私のミスだったから。","v. 謝罪する・謝る"
9,overwhelmed,2290,adj,system_state,"She felt completely overwhelmed by all the chores she had to do.","彼女はやるべき家事の多さに完全に圧倒（キャパオーバー）された。","adj. 圧倒された"
10,appreciate,760,v,system_action,"I really appreciate your kind help with moving my furniture.","家具の引っ越しを手伝ってくれて本当に感謝しています。","v. 感謝する・ありがたく思う"
11,otherwise,540,adv,logic_direction,"Put on a warm jacket, otherwise you will catch a cold.","暖かい上着を着なさい、さもないと風邪をひくよ。","adv. さもなければ"
12,coincidence,2410,n,domain_entity,"Running into you at this station is such an amazing coincidence!","この駅であなたに偶然バッタリ会うなんてすごい偶然だね！","n. 偶然の一致"
13,interrupt,1880,v,system_action,"Sorry to interrupt your conversation, but do you have a minute?","お話の途中で申し訳ありませんが、今ちょっといいですか？","v. 遮る・邪魔をする"
14,exhausted,1720,adj,system_state,"After walking around the theme park all day, I was exhausted.","テーマパークを一日中歩き回って、私は疲れ果てていた。","adj. 疲れ果てた"
